hh_id,MAZ,balanced_weight,integer_weight,TAZ,REGION,PUMA
61604,17418,1.0,1,3630,1,50000
62057,17418,1.0,1,3630,1,50000
62094,17418,1.0,1,3630,1,50000
62356,17418,0.0,0,3630,1,50000
62389,17418,0.0,0,3630,1,50000
62406,17418,2.0,2,3630,1,50000
62539,17418,0.0,0,3630,1,50000
62588,17418,0.0,0,3630,1,50000
62602,17418,0.0,0,3630,1,50000
62682,17418,0.0,0,3630,1,50000
62697,17418,0.0,0,3630,1,50000
62750,17418,0.0,0,3630,1,50000
63102,17418,1.0,1,3630,1,50000
63211,17418,0.0,0,3630,1,50000
63385,17418,19.0,19,3630,1,50000
63424,17418,0.0,0,3630,1,50000
63521,17418,0.0,0,3630,1,50000
63539,17418,0.0,0,3630,1,50000
63640,17418,0.0,0,3630,1,50000
63807,17418,3.0,3,3630,1,50000
63918,17418,3.0,3,3630,1,50000
63919,17418,0.0,0,3630,1,50000
63950,17418,2.0,2,3630,1,50000
64113,17418,0.0,0,3630,1,50000
64193,17418,1.0,1,3630,1,50000
64244,17418,0.0,0,3630,1,50000
64311,17418,1.0,1,3630,1,50000
64491,17418,1.0,1,3630,1,50000
64645,17418,3.0,3,3630,1,50000
64675,17418,0.0,0,3630,1,50000
64895,17418,5.0,5,3630,1,50000
64972,17418,2.0,2,3630,1,50000
64998,17418,0.0,0,3630,1,50000
65039,17418,0.0,0,3630,1,50000
65080,17418,0.0,0,3630,1,50000
65231,17418,3.0,3,3630,1,50000
65327,17418,0.0,0,3630,1,50000
65357,17418,2.0,2,3630,1,50000
65360,17418,0.0,0,3630,1,50000
65463,17418,0.0,0,3630,1,50000
65646,17418,0.0,0,3630,1,50000
65857,17418,1.0,1,3630,1,50000
66220,17418,1.0,1,3630,1,50000
66510,17418,0.0,0,3630,1,50000
66586,17418,0.0,0,3630,1,50000
66620,17418,0.0,0,3630,1,50000
66736,17418,1.0,1,3630,1,50000
67132,17418,0.0,0,3630,1,50000
67210,17418,1.0,1,3630,1,50000
67240,17418,0.0,0,3630,1,50000
67445,17418,0.0,0,3630,1,50000
67636,17418,1.0,1,3630,1,50000
67872,17418,0.0,0,3630,1,50000
67876,17418,0.0,0,3630,1,50000
67877,17418,0.0,0,3630,1,50000
67965,17418,0.0,0,3630,1,50000
67975,17418,1.0,1,3630,1,50000
67995,17418,0.0,0,3630,1,50000
68074,17418,0.0,0,3630,1,50000
68395,17418,1.0,1,3630,1,50000
68698,17418,2.0,2,3630,1,50000
